,Loss,acc_score,ϵ,model
117,0.7216369190216064,0.462,5,baseline
118,0.6963039226531983,0.534,5,baseline
119,0.6909644560813903,0.533,5,baseline
120,0.6944272356033325,0.464,6,baseline
121,0.7071320276260376,0.458,6,baseline
122,0.7098965396881104,0.532,6,baseline
123,0.7243766031265259,0.462,6,baseline
124,0.6956408333778381,0.533,6,baseline
125,0.7014950075149536,0.532,6,baseline
126,0.7026023893356323,0.531,6,baseline
127,0.6928925008773804,0.524,6,baseline
128,0.6909103045463562,0.532,6,baseline
129,0.6918477067947387,0.533,6,baseline
130,0.6984840168952942,0.533,6,baseline
131,0.7017790813446045,0.463,6,baseline
132,0.7349368333816528,0.463,6,baseline
133,0.6942798810005189,0.482,6,baseline
134,0.7015113940238953,0.431,6,baseline
135,0.6990967469215393,0.402,6,baseline
136,0.6900677967071533,0.532,6,baseline
137,0.6937842335700989,0.52,6,baseline
138,0.6900187644958496,0.53,6,baseline
139,0.6888221068382263,0.534,6,baseline
140,0.6941385297775269,0.512,7,baseline
141,0.7004443950653076,0.463,7,baseline
142,0.7392869858741761,0.532,7,baseline
143,0.7090179357528686,0.533,7,baseline
144,0.685824095249176,0.532,7,baseline
145,0.709189965248108,0.462,7,baseline
146,0.6974761333465577,0.534,7,baseline
147,0.7287508497238159,0.462,7,baseline
148,0.7257787117958069,0.463,7,baseline
149,0.6931688923835755,0.515,7,baseline
150,0.7212263097763062,0.463,7,baseline
151,0.6973433628082275,0.529,7,baseline
152,0.6987867603302002,0.457,7,baseline
153,0.7041206321716309,0.437,7,baseline
154,0.694125841140747,0.53,7,baseline
155,0.6927295632362366,0.519,7,baseline
156,0.6924769449234008,0.461,7,baseline
157,0.7291072578430176,0.463,7,baseline
158,0.6891673035621643,0.548,7,baseline
159,0.6994237141609192,0.46,7,baseline
160,0.7026868734359741,0.531,8,baseline
161,0.8866371049880981,0.462,8,baseline
162,0.6948719329833984,0.464,8,baseline
163,0.6908818788528442,0.531,8,baseline
164,0.6994363117218018,0.533,8,baseline
165,0.6853026132583618,0.552,8,baseline
166,0.7000950984954833,0.462,8,baseline
167,0.7002829666137695,0.459,8,baseline
168,0.6983291096687317,0.411,8,baseline
169,0.7614022698402405,0.463,8,baseline
170,0.7015093317031861,0.463,8,baseline
171,0.6999894075393677,0.434,8,baseline
172,0.7082539167404175,0.463,8,baseline
173,0.6979386577606201,0.531,8,baseline
174,0.6930992298126221,0.526,8,baseline
175,0.6970040159225463,0.457,8,baseline
176,0.6895198392868042,0.53,8,baseline
177,0.699607985496521,0.461,8,baseline
178,0.7156863985061646,0.46,8,baseline
179,0.6938493275642394,0.534,8,baseline
180,0.7034739294052124,0.462,9,baseline
181,0.7068085355758666,0.46,9,baseline
182,0.7003280897140503,0.46,9,baseline
183,0.7232632412910461,0.463,9,baseline
184,0.7013215627670288,0.421,9,baseline
185,0.7094067945480347,0.462,9,baseline
186,0.6915550775527954,0.541,9,baseline
187,0.7961571564674378,0.462,9,baseline
188,0.7389231224060059,0.462,9,baseline
189,0.710681902885437,0.462,9,baseline
190,0.7331055736541748,0.462,9,baseline
191,0.6968036451339722,0.532,9,baseline
192,0.7131847190856934,0.462,9,baseline
193,0.7311682224273681,0.462,9,baseline
194,0.6972654037475586,0.462,9,baseline
195,0.7203694763183593,0.463,9,baseline
196,0.7271238279342651,0.462,9,baseline
197,0.6920535068511963,0.529,9,baseline
198,0.6890377321243286,0.538,9,baseline
199,0.7078939609527588,0.532,9,baseline
200,0.7116037697792054,0.462,10,baseline
201,0.7056543102264404,0.532,10,baseline
202,0.6984095182418824,0.456,10,baseline
203,0.6890029039382934,0.561,10,baseline
204,0.6944928169250488,0.531,10,baseline
205,0.6978676476478577,0.532,10,baseline
206,0.6963357601165772,0.431,10,baseline
207,0.6894431743621826,0.532,10,baseline
208,0.6977367768287659,0.421,10,baseline
209,0.7304590215682983,0.462,10,baseline
210,0.7334375510215759,0.463,10,baseline
211,0.70270574426651,0.462,10,baseline
212,0.716761137008667,0.463,10,baseline
213,0.7183297734260559,0.463,10,baseline
214,0.7036127290725708,0.531,10,baseline
215,0.6969735088348389,0.479,10,baseline
216,0.6895958471298218,0.533,10,baseline
217,0.6884739065170288,0.538,10,baseline
218,0.7480040054321289,0.462,10,baseline
219,0.6926688327789307,0.47,10,baseline
0,0.6890443058013916,0.532,0,MI_penal
